key,sector,kind,predicted,target,sigma,z,chi2,passed_limit,unit,note
ms_over_mb_2gev_working,quark_masses,log_gaussian,0.02564102564102564,0.0225,0.06,0.9458812477023034,0.8946913347548663,,dimensionless,
mc_over_mt_working,quark_masses,log_gaussian,0.007889546351084813,0.0073,0.08,0.42161464842713214,0.17775891176833425,,dimensionless,
Vus,ckm,gaussian,0.22645540682891915,0.2243,0.0008,2.6942585361489426,7.259029059611443,,dimensionless,
Vcb,ckm,gaussian,0.041871619534755176,0.041,0.0014,0.622585381967982,0.38761255784021803,,dimensionless,
Vub,ckm,gaussian,0.0038710325953661396,0.00382,0.00024,0.2126358140255814,0.04521398940632164,,dimensionless,
Jarlskog_CKM,ckm,gaussian,3.3716010047370996e-05,3e-05,2e-06,1.858005023685498,3.452182668040548,,dimensionless,
pmns_sin2_theta12,pmns,gaussian,0.31717171717171716,0.304,0.012,1.0976430976430973,1.204820369803534,,dimensionless,
pmns_sin2_theta23,pmns,gaussian,0.5512820512820513,0.573,0.025,-0.8687179487179453,0.7546708744247146,,dimensionless,
pmns_sin2_theta13,pmns,gaussian,0.023668639053254437,0.0222,0.0008,1.8357988165680452,3.3701572949126355,,dimensionless,
delta_m21_sq_ev2,neutrino_masses,gaussian,7.35294117647059e-05,7.42e-05,2.1e-06,-0.3193277310924277,0.1019701998446378,,eV^2,
abs_delta_m3l_sq_ev2,neutrino_masses,gaussian,0.0025000000000000005,0.00251,4e-05,-0.24999999999998979,0.06249999999999489,,eV^2,
neutrino_ordering,neutrino_masses,categorical,normal,normal,,0.0,0.0,True,dimensionless,
rho_parameter,electroweak_precision,gaussian,1.0,1.0004,0.0004,-0.9999999999998899,0.9999999999997797,,dimensionless,
tau_p_to_e_pi0_years,baryon_violation,lower_bound,8.516862452184991e+37,2e+34,0.3,0.0,0.0,True,years,
threshold_lightest_new_charged_gev,threshold_spectrum,lower_bound,6.0875e+16,1000.0,0.3,0.0,0.0,True,GeV,
threshold_lightest_new_colored_gev,threshold_spectrum,lower_bound,6.0875e+16,2000.0,0.3,0.0,0.0,True,GeV,
N_eff,cosmology_extensions,gaussian,3.0,2.99,0.17,0.05882352941176345,0.0034602076124565996,,dimensionless,
Omega_c_h2,dark_matter,gaussian,0.11538461538461539,0.12,0.002,-2.307692307692302,5.325443786982223,,dimensionless,
